IP地址,端口,回源端口,TLS,城市,地区,国家,城市,TCP延迟(ms),速度(MB/s)
158.178.155.242,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,285,6.66
152.70.63.4,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,257,6.64
158.178.153.80,2096,443,TRUE,Amsterdam,Europe,NL,Amsterdam,296,6.64
130.162.177.199,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,378,6.63
141.147.51.178,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,306,6.59
138.2.129.125,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,379,6.56
129.153.171.154,443,443,TRUE,Ashburn,North America,US,Ashburn,241,6.54
158.178.154.58,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,287,6.52
129.80.99.133,443,443,TRUE,Ashburn,North America,US,Ashburn,236,6.51
140.84.179.114,443,443,TRUE,Dallas,North America,US,Dallas,371,6.5
130.162.241.243,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,313,6.47
158.178.146.30,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,337,6.44
143.47.243.144,8443,443,TRUE,London,Europe,GB,London,266,6.43
158.178.153.89,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,295,6.39
130.162.50.146,443,443,TRUE,Paris,Europe,FR,Paris,239,6.39
130.162.48.46,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,354,6.37
158.178.158.228,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,254,6.35
143.47.243.144,2053,443,TRUE,London,Europe,GB,London,283,6.34
130.162.171.114,443,443,TRUE,Düsseldorf,Europe,DE,Düsseldorf,424,6.28
130.61.107.238,8443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,294,6.21
129.213.70.141,443,443,TRUE,Ashburn,North America,US,Ashburn,276,6.21
129.80.188.232,443,443,TRUE,Ashburn,North America,US,Ashburn,353,6.2
158.178.238.239,443,443,TRUE,Singapore,Asia Pacific,SG,Singapore,116,6.19
143.47.224.41,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,373,6.06
164.152.26.70,2086,443,TRUE,Chicago,North America,US,Chicago,225,6.02
130.162.169.138,443,443,TRUE,Frankfurt,Europe,DE,Frankfurt,334,6.02
141.148.9.220,443,443,TRUE,Ashburn,North America,US,Ashburn,327,6.02
129.80.225.114,443,443,TRUE,Ashburn,North America,US,Ashburn,327,5.81
132.226.55.13,443,443,TRUE,Ashburn,North America,US,Ashburn,357,5.8
131.186.27.112,2096,443,TRUE,Seoul,Asia Pacific,KR,Seoul,206,5.8
64.110.108.118,443,443,TRUE,Osaka,Asia Pacific,JP,Osaka,222,5.77
141.148.37.21,443,443,TRUE,Ashburn,North America,US,Ashburn,268,5.75
150.230.169.46,443,443,TRUE,Ashburn,North America,US,Ashburn,306,5.72
40.233.70.7,8443,443,TRUE,Toronto,North America,CA,Toronto,274,5.72
138.2.122.191,443,443,TRUE,Seoul,Asia Pacific,KR,Seoul,240,5.68
158.180.71.55,443,443,TRUE,Seoul,Asia Pacific,KR,Seoul,132,5.67
131.186.25.156,2087,2096,TRUE,Seoul,Asia Pacific,KR,Seoul,171,5.66
140.238.55.89,443,443,TRUE,Tokyo,Asia Pacific,JP,Tokyo,251,5.65
158.180.82.203,8443,443,TRUE,Seoul,Asia Pacific,KR,Seoul,149,5.65
